Product name,Product id,Listing price,Gender,Category,Rating,Reviews
  Sport Inspired Glenn W ,CM6627,2499,Mujer,Adidas Core / Neo,34,65
  Originals Nmd_Cs2 Pk ,CQ2039,16999,Mujer,Adidas Originals,5,56
  Originals Sleek ,CG6193,7599,Mujer,Adidas Originals,1,15
  Originals Superstar Bounce Pk Low ,S82260,11999,Mujer,Adidas Originals,35,51
  Originals I-5923 ,EE4945,11999,Mujer,Adidas Originals,34,84
  Originals Sambarose ,EE7155,7999,Mujer,Adidas Originals,1,57
  Sport Inspired Energy Cloud V ,B44846,5999,Mujer,Adidas Core / Neo,32,43
  Originals Supercourt ,EE6044,7999,Mujer,Adidas Originals,4,83
  Originals Falcon ,EH0192,10999,Mujer,Adidas Originals,37,14
  Originals Sambarose ,EE7045,7999,Mujer,Adidas Originals,25,62
  Sport Inspired Drogo ,CL7646,2699,Mujer,Adidas Core / Neo,28,49
  Running Hyperon 1.0 ,CL7346,2999,Mujer,Adidas Core / Neo,27,37
  Originals Deerupt Runner ,EE5777,8999,Mujer,Adidas Originals,28,38
  Originals Eqt Support Sock Primeknit ,AQ1210,9999,Mujer,Adidas Originals,29,88
  Originals Supercourt ,EF5925,7999,Mujer,Adidas Originals,43,98
  Originals Pod-S3.1 ,EE7032,11999,Mujer,Adidas Originals,36,93
  Originals Stan Smith ,EE7708,7999,Mujer,Adidas Originals,41,18
  Originals Nmd_R1 Stlt Primeknit ,AQ1119,12999,Mujer,Adidas Originals,37,23
  Originals Swift Run ,F34311,7999,Mujer,Adidas Originals,36,59
  Sport Inspired Drogo ,CL7645,2699,Mujer,Adidas Core / Neo,46,90
  Originals Sambarose Zip ,EE5089,8999,Mujer,Adidas Originals,37,37
  Running Rey ,CL7565,4999,Hombre,Adidas Core / Neo,3,47
  Originals Continental 80 ,G27727,7999,Mujer,Adidas Originals,46,46
  Originals Samba Og ,B44697,7999,Mujer,Adidas Originals,0,85
  Sport Inspired Blaze Runner ,CL7400,5599,Hombre,Adidas Core / Neo,41,68
  Sport Inspired Binafo ,CL7437,5299,Hombre,Adidas Core / Neo,44,74
  Running Rey ,CL7563,4999,Hombre,Adidas Core / Neo,37,1
  Running Zeta 1.0 ,CL7460,5999,Hombre,Adidas Core / Neo,2,48
  Running Puaro ,CL7507,4999,Hombre,Adidas Core / Neo,48,0
  Swim Stabile Slippers,CM0061,1299,Hombre,Adidas Core / Neo,27,14
  Originals Stan Smith ,F34308,7999,Mujer,Adidas Originals,4,69
  Running Puaro ,CL7506,4999,Hombre,Adidas Core / Neo,47,83
  Running Hyperon 1.0 ,CL7344,2999,Mujer,Adidas Core / Neo,2,86
